Column1;Column2
;Street Name
40th Ave;27279
Hester St;27272
W 32nd St;27258
E 64th St;27244
W 8th St;27244
48th Ave;27230
NB JEROME AVE @ E 16;27223
EB ASTORIA BLVD @ 81;27195
N 5th St;27104
Vesey St;27097
EB RICHMOND HILL RD;27083
ASTORIA BLVD (E/B) @;27062
WB RANDALL AVE @ CRO;26936
95th St;26908
E 98th St;26894
149th St;26824
70th St;26803
W 231st St;26761
EASTERN PKWY (E/B) @;26684
NB OCEAN AVE @ FARRA;26649
W Houston St;26649
153rd St;26607
NB DYCKMAN ST @ NAGL;26593
92nd St;26579
NB MIDLAND AVE @ MAS;26516
NB SHELL RD @ BOUCK;26502
Hoyt St;26467
W 120th St;26467
E 106th St;26453
110th St;26439
Cherry St;26439
State St;26313
68th St;26229
SB OCEAN AVE @ AVE M;26110
FLATBUSH AVE (S/B) @;26033
WB EASTERN PKWY @ CL;26026
Grove St;26012
118th St;25991
SB MAIN ST @ 37TH AV;25991
112th St;25942
Horatio St;25928
W 95th St;25879
Horace Harding Expy;25865
NB STEUBEN ST @ RADC;25844
67th Ave;25795
Pitkin Ave;25767
NB PARK AVE @ E 83RD;25662
EB E 149TH ST @ WALT;25634
E 104th St;25592
E 182nd St;25564
Farragut Rd;25557
Parkside Ave;25550
Gerard Ave;25543
Clermont Ave;25522
24th Ave;25508
NB VAN CORTLANDT PAR;25494
13th St;25487
NB WEBSTER AVE @ E F;25480
SB NOSTRAND AVE @ PA;25459
NB BAISLEY BLVD @ 15;25452
NB 65TH ST @ W 2ND S;25438
W 109th St;25431
NB 33RD ST @ BROADWA;25403
Troy Ave;25396
96th St;25382
SB FLATBUSH AVE @ FA;25305
EB HILLSIDE AVE @ KE;25284
E 181st St;25214
Sheridan Ave;25214
E 75th St;25193
E 169th St;25186
SB RIVERDALE AVE @ W;25165
W 106th St;25158
SB SOUNDVIEW AVE @ T;25109
W 73rd St;25081
NB OCEAN PKWY @ AVEN;25074
Avenue K;25067
E 65th St;25060
Corona Ave;25053
SB OCEAN PKWY @ 18TH;25053
NB OCEAN AVE @ GRAVE;25039
WB MERRICK BLVD @ 21;25032
SB KINGS HWY @ TILDE;25011
N 6th St;24997
N CONDUIT AVE (W/B);24997
Saunders St;24990
SB 5TH AVE @ E 135TH;24948
NB BRONX PARK EAST @;24941
Roebling St;24920
SB VAN DUZER ST @ MA;24892
EB E 163RD ST @ SIMP;24885
Avenue L;24794
W 92nd St;24787
Eldert Ln;24766
SB NELSON AVE @ GRAN;24703
W 132nd St;24661
57th Ave;24654
Anthony Ave;24598
SB DECKER AVE @ SMIT;24584
WB 116TH AVE @ 141ST;24570
W 114th St;24563
Rockaway Pky;24528
SB BROADWAY @ CHAMBE;24514
EB E TREMONT AVE @ T;24486
Vyse Ave;24472
Avenue X;24465
Convent Ave;24465
E New York Ave;24360
S 4th St;24332
W 142nd St;24283
Avenue B;24262
SB WINCHESTER BLVD @;24234
SB FRESH POND RD @ 5;24220
100th St;24213
22nd St;24213
W 67th St;24192
W 81st St;24178
SB WEBSTER AVE @ E 1;24150
NB OCEAN PKWY @ 18TH;24017
